price,date,time,geo_lat,geo_lon,region,building_type,level,levels,rooms,area,kitchen_area,object_type
2400000,2018-08-03,12:41:19,44.0289752,43.0534628,2900.0,3.0,2.0,6.0,1.0,50.0,14.0,1.0
1150000,2018-08-03,15:06:10,45.084112,39.020193,2843.0,3.0,4.0,6.0,1.0,38.0,9.0,1.0
5399940,2018-08-04,07:39:22,55.7029452,37.8871138,81.0,1.0,2.0,16.0,2.0,60.2,11.2,11.0
5904800,2018-08-04,07:43:24,55.6968448,37.9073245,81.0,1.0,25.0,25.0,2.0,67.1,10.7,11.0
8806100,2018-08-04,07:43:24,55.87287,37.59311,3.0,1.0,5.0,24.0,2.0,53.5,18.5,11.0
5969650,2018-08-04,07:43:27,55.6968448,37.9073245,81.0,1.0,23.0,25.0,2.0,66.7,11.4,11.0
4235680,2018-08-04,07:43:29,55.6968448,37.9073245,81.0,1.0,25.0,25.0,1.0,36.8,9.3,11.0
8677850,2018-08-04,09:37:24,55.915306,37.720106,81.0,2.0,2.0,14.0,3.0,88.1,10.6,11.0
3600000,2018-08-07,16:41:30,55.8257648,49.0725279,2922.0,3.0,4.0,6.0,1.0,57.7,9.3,1.0
2420000,2018-08-08,10:32:32,56.109963,92.913702,3870.0,3.0,2.0,17.0,2.0,54.0,13.0,11.0
2650000,2018-08-08,16:08:22,58.234476,68.274701,3991.0,1.0,9.0,9.0,4.0,79.0,9.0,1.0
13700000,2018-08-08,17:07:12,55.6388284,37.5384822,3.0,1.0,12.0,12.0,2.0,65.0,12.0,1.0
3100000,2018-08-09,10:27:23,43.48278,43.574858,9648.0,3.0,3.0,5.0,3.0,64.0,8.0,1.0
10272240,2018-08-10,12:45:28,59.9391313,30.3159004,2661.0,2.0,3.0,8.0,2.0,78.0,15.6,11.0
4100000,2018-08-10,12:56:21,59.9305317,30.6205086,3446.0,1.0,4.0,10.0,2.0,67.0,10.6,1.0
3500000,2018-08-11,06:46:31,47.23871,39.8082432,3230.0,3.0,3.0,5.0,3.0,64.0,11.0,1.0
1950000,2018-08-12,20:01:49,56.2318163,43.4362229,2871.0,3.0,1.0,9.0,1.0,40.0,8.0,1.0
2750000,2018-08-12,21:00:59,60.0393986,30.4494963,3446.0,3.0,14.0,27.0,1.0,36.0,9.3,1.0
4458000,2018-08-13,10:03:59,55.5396746,37.7167903,81.0,1.0,4.0,17.0,2.0,61.2,11.9,11.0
6332000,2018-08-13,10:04:00,55.5633379,37.851372,81.0,2.0,7.0,9.0,3.0,96.7,16.6,11.0
5158890,2018-08-13,10:43:29,55.7485953,37.9252958,81.0,2.0,1.0,6.0,1.0,60.1,11.1,11.0
3750000,2018-08-13,20:00:52,55.5774674,38.2052556,81.0,3.0,6.0,10.0,1.0,42.5,10.6,1.0
3690000,2018-08-13,23:47:42,55.5774674,38.2052556,81.0,2.0,6.0,10.0,1.0,43.0,11.0,1.0
9500000,2018-08-14,01:46:17,55.629221,37.518542,3.0,1.0,17.0,17.0,2.0,50.9,8.5,1.0
2730000,2018-08-14,07:41:49,55.7659045,52.4191332,2922.0,1.0,3.0,9.0,2.0,54.0,10.0,1.0
3445000,2018-08-14,18:31:05,43.403842,40.003363,2843.0,2.0,5.0,12.0,1.0,34.0,7.0,11.0
2700000,2018-08-15,15:57:53,59.5717476,30.1194336,3446.0,3.0,3.0,5.0,2.0,45.0,31.0,1.0
1200000,2018-08-16,12:06:07,53.087794,91.410785,2359.0,1.0,1.0,5.0,2.0,46.0,7.0,1.0
6800000,2018-08-16,12:27:34,55.6832456,37.8689023,81.0,1.0,1.0,14.0,3.0,68.0,9.0,1.0
3750000,2018-08-18,07:39:01,55.4115543,36.7162291,81.0,3.0,4.0,5.0,3.0,50.5,6.2,1.0
1200000,2018-08-22,08:30:21,56.9086605,59.942029,6171.0,1.0,2.0,5.0,1.0,28.0,5.0,1.0
4200000,2018-08-23,11:23:45,45.053582,39.031826,2843.0,3.0,15.0,18.0,2.0,65.0,13.0,1.0
2550000,2018-08-23,13:26:39,45.026138,39.018226,2843.0,3.0,7.0,16.0,1.0,39.7,10.0,1.0
2100000,2018-08-23,16:12:05,56.493675,38.181607,81.0,1.0,8.0,9.0,3.0,70.0,7.0,1.0
1350000,2018-08-23,22:40:48,44.7689895,39.8649958,2843.0,3.0,3.0,5.0,1.0,33.0,9.0,1.0
2600000,2018-08-25,02:52:47,54.1709324,45.1423289,5241.0,3.0,7.0,9.0,3.0,60.0,10.0,1.0
2960000,2018-08-25,13:01:31,45.063699,39.036884,2843.0,1.0,4.0,16.0,2.0,58.0,10.0,1.0
2550000,2018-08-26,18:34:07,45.133927,39.008272,2843.0,3.0,18.0,20.0,1.0,43.0,12.0,11.0
1110000,2018-08-26,19:45:13,53.5292897,49.17818,3106.0,4.0,1.0,3.0,1.0,36.0,8.3,1.0
2850000,2018-08-27,10:52:24,44.99311,39.068316,2843.0,2.0,12.0,25.0,3.0,91.0,18.0,11.0
2160000,2018-08-27,11:46:08,55.8116984,49.195913,2922.0,3.0,2.0,5.0,1.0,31.0,6.5,1.0
2500000,2018-08-27,13:02:23,55.7649561,38.4460706,81.0,1.0,3.0,5.0,2.0,44.0,6.0,1.0
4368880,2018-08-27,13:09:09,55.7042711,37.9420436,3.0,1.0,13.0,17.0,1.0,38.8,7.4,11.0
1750000,2018-08-27,14:57:20,43.9172201,42.7080805,2900.0,3.0,1.0,5.0,1.0,38.0,8.0,1.0
3300000,2018-08-28,12:02:58,45.0725309,39.0384593,2843.0,3.0,18.0,24.0,2.0,63.0,11.0,1.0
4990000,2018-08-28,16:00:02,59.8262216,30.207174,2661.0,1.0,8.0,9.0,3.0,60.0,6.0,1.0
2100000,2018-08-28,18:52:04,54.7393328,83.058362,9654.0,3.0,8.0,9.0,1.0,35.2,12.0,1.0
2190000,2018-08-29,09:29:44,45.1054739,38.9697956,2843.0,2.0,9.0,12.0,2.0,48.5,16.5,11.0
2490000,2018-08-29,13:37:37,45.020991,39.045768,2843.0,1.0,4.0,5.0,2.0,46.0,7.0,1.0
7500000,2018-08-29,14:40:58,43.626335,39.698437,2843.0,2.0,1.0,9.0,2.0,76.0,15.0,1.0
10550000,2018-08-29,18:44:37,55.4846387,37.3067639,3.0,1.0,6.0,15.0,3.0,77.0,10.0,1.0
8037466,2018-08-30,10:42:05,55.7042711,37.9420436,3.0,1.0,16.0,17.0,3.0,84.6,10.0,11.0
1750000,2018-08-30,11:41:49,45.09787,39.005326,2843.0,2.0,5.0,16.0,1.0,39.2,10.0,1.0
6217920,2018-08-30,12:52:35,55.7042711,37.9420436,3.0,1.0,2.0,17.0,2.0,61.2,12.6,11.0
1690000,2018-08-30,14:26:50,47.52453,42.193382,3230.0,1.0,7.0,8.0,2.0,51.0,10.0,1.0
4800000,2018-08-30,14:45:34,59.8615511,30.3427614,2661.0,3.0,8.0,19.0,1.0,35.7,9.3,1.0
6380000,2018-08-30,14:54:02,59.9489239,30.2421301,2661.0,3.0,5.0,9.0,2.0,49.0,8.0,1.0
4900000,2018-08-30,15:08:37,59.9153024,30.4816295,2661.0,4.0,7.0,9.0,2.0,50.0,9.0,1.0
3200000,2018-08-30,15:14:07,59.918065,30.505386,3446.0,2.0,23.0,24.0,1.0,33.0,10.0,1.0
6950000,2018-08-30,16:43:06,55.8792639,37.3137409,81.0,2.0,3.0,4.0,1.0,48.6,12.0,1.0
2700000,2018-08-30,17:57:18,47.199913,39.654817,3230.0,3.0,5.0,5.0,1.0,41.0,12.0,1.0
5000000,2018-08-30,20:57:17,59.9898689,29.7881002,2661.0,3.0,2.0,4.0,3.0,72.1,7.6,1.0
3490000,2018-08-31,09:10:33,56.8977241,60.5733406,6171.0,3.0,5.0,5.0,3.0,60.8,6.0,1.0
3735430,2018-08-31,10:34:17,59.8498956,30.3536147,2661.0,2.0,2.0,24.0,1.0,35.1,11.9,11.0
2250000,2018-08-31,11:52:32,45.03433,38.905226,2843.0,4.0,10.0,12.0,1.0,34.0,6.0,1.0
2750000,2018-08-31,15:22:51,53.3442883,83.6632084,6817.0,1.0,8.0,9.0,3.0,70.0,9.0,1.0
1000000,2018-08-31,15:30:03,56.114403,47.4960436,3019.0,3.0,1.0,5.0,2.0,42.0,6.0,1.0
1690000,2018-08-31,15:33:12,51.3691544,42.1155192,2072.0,3.0,1.0,5.0,2.0,45.0,9.0,1.0
2950000,2018-08-31,16:42:58,55.859248,37.1266372,81.0,3.0,2.0,5.0,1.0,33.4,7.0,1.0
1800000,2018-08-31,17:58:30,55.3752075,39.0553288,81.0,4.0,3.0,3.0,2.0,57.0,9.0,11.0
2153836,2018-08-31,18:44:08,59.845437,30.115149,2661.0,2.0,6.0,8.0,1.0,28.9,4.8,11.0
2149764,2018-08-31,18:48:13,59.845437,30.115149,2661.0,2.0,2.0,8.0,1.0,29.7,5.0,11.0
10470000,2018-08-31,21:57:43,60.0135965,30.3883656,2661.0,3.0,9.0,22.0,2.0,72.4,14.0,1.0
15800000,2018-09-01,12:50:02,55.6807931,37.4845931,3.0,2.0,16.0,25.0,2.0,57.8,9.0,1.0
3150000,2018-09-01,12:58:41,55.802925,38.457947,81.0,2.0,4.0,17.0,2.0,53.0,8.5,1.0
8771000,2018-09-01,13:21:11,59.9215495,30.4336026,2661.0,2.0,7.0,16.0,4.0,95.0,24.0,11.0
2650000,2018-09-01,18:12:19,55.9634074,37.9126379,81.0,3.0,4.0,5.0,1.0,33.0,6.0,1.0
7000000,2018-09-02,08:46:05,55.552408,37.552157,3.0,1.0,8.0,22.0,1.0,38.1,10.0,1.0
